id,study_group,new_group,sex,age,race,educ,ethnic,Video,Position,Rating,ReactionTime,SelectionTime,Video_sex,Video_race,conte_mean_all,conte_mean_short
b1b08961,1,1,2,32,1,16,2,Video_1002,53,60,3740,8666,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1003,13,90,8638,16831,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1005,24,150,3148,37162,0,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1010,19,30,4809,9832,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1011,58,60,5014,13831,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1015,30,60,3866,8833,0,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1019,63,150,3128,22997,0,2,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1021,25,0,5656,54993,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1023,14,0,3640,10165,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1026,61,30,9056,14165,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1029,11,90,3763,14998,1,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1031,23,0,8708,43827,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1032,43,60,4557,13998,0,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1033,46,60,2567,6999,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1038,12,60,3142,11831,0,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1043,54,30,3748,11999,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1045,5,120,3927,15831,0,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1046,16,0,7220,28830,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1047,42,150,3145,13332,1,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1052,27,0,7716,101654,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1053,36,120,2485,16998,1,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1060,34,0,4636,9332,1,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1068,22,90,4674,12832,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1069,15,0,9504,14498,0,1,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1073,48,60,7711,14665,1,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1074,64,210,2744,13665,1,0,3.625,4
b1b08961,1,1,2,32,1,16,2,Video_1076,57,30,4041,15665,1,1,3.625,4
